HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at birth (years),Fiji,2019,Male,58.5,-18.0,175.0
Healthy life expectancy (HALE) at birth (years),United Republic of Tanzania,2019,Both sexes,58.5,,
Healthy life expectancy (HALE) at birth (years),Namibia,2019,Female,58.6,-22.0,17.0
Healthy life expectancy (HALE) at birth (years),Myanmar,2019,Male,58.8,22.0,98.0
Healthy life expectancy (HALE) at birth (years),Senegal,2019,Male,58.8,14.0,-14.0
Healthy life expectancy (HALE) at birth (years),Comoros,2019,Both sexes,58.9,-12.17,44.25
Healthy life expectancy (HALE) at birth (years),Djibouti,2019,Female,58.9,11.5,43.0
Healthy life expectancy (HALE) at birth (years),Kenya,2019,Female,58.9,1.0,38.0
Healthy life expectancy (HALE) at birth (years),Ethiopia,2019,Male,59.0,8.0,38.0
Healthy life expectancy (HALE) at birth (years),Malawi,2019,Female,59.0,-13.5,34.0
Healthy life expectancy (HALE) at birth (years),Rwanda,2019,Male,59.0,-2.0,30.0
Healthy life expectancy (HALE) at birth (years),Solomon Islands,2019,Female,59.1,-8.0,159.0
Healthy life expectancy (HALE) at birth (years),Lao People's Democratic Republic,2019,Male,59.2,18.0,105.0
Healthy life expectancy (HALE) at birth (years),Gabon,2019,Female,59.3,-1.0,11.75
Healthy life expectancy (HALE) at birth (years),United Republic of Tanzania,2019,Female,59.3,,
Healthy life expectancy (HALE) at birth (years),Mauritania,2019,Female,59.4,20.0,-12.0
Healthy life expectancy (HALE) at birth (years),Senegal,2019,Both sexes,59.4,14.0,-14.0
Healthy life expectancy (HALE) at birth (years),Vanuatu,2019,Female,59.4,-16.0,167.0
Healthy life expectancy (HALE) at birth (years),Comoros,2019,Female,59.6,-12.17,44.25
Healthy life expectancy (HALE) at birth (years),Fiji,2019,Both sexes,59.6,-18.0,175.0
Healthy life expectancy (HALE) at birth (years),Ghana,2019,Female,59.6,8.0,-2.0
Healthy life expectancy (HALE) at birth (years),Sudan,2019,Male,59.6,15.0,30.0
Healthy life expectancy (HALE) at birth (years),Guyana,2019,Female,59.7,5.0,-59.0
Healthy life expectancy (HALE) at birth (years),Cambodia,2019,Male,59.8,13.0,105.0
Healthy life expectancy (HALE) at birth (years),Mauritania,2019,Both sexes,59.8,20.0,-12.0
Healthy life expectancy (HALE) at birth (years),Timor-Leste,2019,Male,59.8,,
Healthy life expectancy (HALE) at birth (years),Ethiopia,2019,Both sexes,59.9,8.0,38.0
Healthy life expectancy (HALE) at birth (years),Senegal,2019,Female,59.9,14.0,-14.0
Healthy life expectancy (HALE) at birth (years),Sudan,2019,Both sexes,59.9,15.0,30.0
Healthy life expectancy (HALE) at birth (years),Turkmenistan,2019,Male,59.9,40.0,60.0
Healthy life expectancy (HALE) at birth (years),Philippines,2019,Male,60.1,13.0,122.0
Healthy life expectancy (HALE) at birth (years),Mauritania,2019,Male,60.2,20.0,-12.0
Healthy life expectancy (HALE) at birth (years),Rwanda,2019,Both sexes,60.2,-2.0,30.0
Healthy life expectancy (HALE) at birth (years),India,2019,Both sexes,60.3,20.0,77.0
Healthy life expectancy (HALE) at birth (years),India,2019,Male,60.3,20.0,77.0
Healthy life expectancy (HALE) at birth (years),Mongolia,2019,Both sexes,60.3,46.0,105.0
Healthy life expectancy (HALE) at birth (years),Sudan,2019,Female,60.3,15.0,30.0
Healthy life expectancy (HALE) at birth (years),India,2019,Female,60.4,20.0,77.0
Healthy life expectancy (HALE) at birth (years),Uganda,2019,Female,60.4,1.0,32.0
Healthy life expectancy (HALE) at birth (years),Guatemala,2019,Male,60.5,15.5,-90.25
Healthy life expectancy (HALE) at birth (years),Lao People's Democratic Republic,2019,Both sexes,60.5,18.0,105.0
Healthy life expectancy (HALE) at birth (years),Nepal,2019,Male,60.6,28.0,84.0
Healthy life expectancy (HALE) at birth (years),Ukraine,2019,Male,60.6,49.0,32.0
Healthy life expectancy (HALE) at birth (years),Fiji,2019,Female,60.7,-18.0,175.0
Healthy life expectancy (HALE) at birth (years),Russian Federation,2019,Male,60.7,60.0,100.0
Healthy life expectancy (HALE) at birth (years),Suriname,2019,Male,60.7,4.0,-56.0
Healthy life expectancy (HALE) at birth (years),Ethiopia,2019,Female,60.8,8.0,38.0
Healthy life expectancy (HALE) at birth (years),Myanmar,2019,Both sexes,60.9,22.0,98.0
Healthy life expectancy (HALE) at birth (years),Sao Tome and Principe,2019,Male,60.9,1.0,7.0
Healthy life expectancy (HALE) at birth (years),Tajikistan,2019,Male,60.9,39.0,71.0
Healthy life expectancy (HALE) at birth (years),Timor-Leste,2019,Both sexes,60.9,,
Healthy life expectancy (HALE) at birth (years),Nepal,2019,Both sexes,61.3,28.0,84.0
Healthy life expectancy (HALE) at birth (years),Georgia,2019,Male,61.4,42.0,43.5
Healthy life expectancy (HALE) at birth (years),Rwanda,2019,Female,61.4,-2.0,30.0
Healthy life expectancy (HALE) at birth (years),Cambodia,2019,Both sexes,61.5,13.0,105.0
Healthy life expectancy (HALE) at birth (years),El Salvador,2019,Male,61.6,13.83,-88.92
Healthy life expectancy (HALE) at birth (years),Iraq,2019,Male,61.6,33.0,44.0
Healthy life expectancy (HALE) at birth (years),Sao Tome and Principe,2019,Both sexes,61.6,1.0,7.0
Healthy life expectancy (HALE) at birth (years),Samoa,2019,Male,61.8,-13.58,-172.33
Healthy life expectancy (HALE) at birth (years),Indonesia,2019,Male,61.9,-5.0,120.0
Healthy life expectancy (HALE) at birth (years),Lao People's Democratic Republic,2019,Female,61.9,18.0,105.0
Healthy life expectancy (HALE) at birth (years),Republic of Moldova,2019,Male,61.9,,
Healthy life expectancy (HALE) at birth (years),Seychelles,2019,Male,61.9,-4.58,55.67
Healthy life expectancy (HALE) at birth (years),Venezuela (Bolivarian Republic of),2019,Male,61.9,,
Healthy life expectancy (HALE) at birth (years),Mauritius,2019,Male,62.0,-20.28,57.55
Healthy life expectancy (HALE) at birth (years),Philippines,2019,Both sexes,62.0,13.0,122.0
Healthy life expectancy (HALE) at birth (years),Tajikistan,2019,Both sexes,62.0,39.0,71.0
Healthy life expectancy (HALE) at birth (years),Timor-Leste,2019,Female,62.0,,
Healthy life expectancy (HALE) at birth (years),Azerbaijan,2019,Male,62.1,40.5,47.5
Healthy life expectancy (HALE) at birth (years),Dominican Republic,2019,Male,62.1,19.0,-70.67
Healthy life expectancy (HALE) at birth (years),Nepal,2019,Female,62.1,28.0,84.0
Healthy life expectancy (HALE) at birth (years),Samoa,2019,Both sexes,62.1,-13.58,-172.33
Healthy life expectancy (HALE) at birth (years),Turkmenistan,2019,Both sexes,62.1,40.0,60.0
Healthy life expectancy (HALE) at birth (years),Cabo Verde,2019,Male,62.2,,
Healthy life expectancy (HALE) at birth (years),Sao Tome and Principe,2019,Female,62.2,1.0,7.0
Healthy life expectancy (HALE) at birth (years),Bahamas,2019,Male,62.3,24.25,-76.0
Healthy life expectancy (HALE) at birth (years),Belarus,2019,Male,62.3,53.0,28.0
Healthy life expectancy (HALE) at birth (years),Egypt,2019,Male,62.3,27.0,30.0
Healthy life expectancy (HALE) at birth (years),Guatemala,2019,Both sexes,62.3,15.5,-90.25
Healthy life expectancy (HALE) at birth (years),Kazakhstan,2019,Male,62.4,48.0,68.0
Healthy life expectancy (HALE) at birth (years),Suriname,2019,Both sexes,62.4,4.0,-56.0
Healthy life expectancy (HALE) at birth (years),Viet Nam,2019,Male,62.4,,
Healthy life expectancy (HALE) at birth (years),Samoa,2019,Female,62.5,-13.58,-172.33
Healthy life expectancy (HALE) at birth (years),Syrian Arab Republic,2019,Male,62.5,35.0,38.0
Healthy life expectancy (HALE) at birth (years),Grenada,2019,Male,62.6,12.12,-61.67
Healthy life expectancy (HALE) at birth (years),Honduras,2019,Male,62.7,15.0,-86.5
Healthy life expectancy (HALE) at birth (years),Iraq,2019,Both sexes,62.7,33.0,44.0
Healthy life expectancy (HALE) at birth (years),Tonga,2019,Male,62.7,-20.0,-175.0
Healthy life expectancy (HALE) at birth (years),Indonesia,2019,Both sexes,62.8,-5.0,120.0
Healthy life expectancy (HALE) at birth (years),Myanmar,2019,Female,62.8,22.0,98.0
Healthy life expectancy (HALE) at birth (years),Latvia,2019,Male,62.9,57.0,25.0
Healthy life expectancy (HALE) at birth (years),Saint Vincent and the Grenadines,2019,Male,62.9,13.25,-61.2
Healthy life expectancy (HALE) at birth (years),Syrian Arab Republic,2019,Both sexes,62.9,35.0,38.0
Healthy life expectancy (HALE) at birth (years),Cambodia,2019,Female,63.0,13.0,105.0
Healthy life expectancy (HALE) at birth (years),Egypt,2019,Both sexes,63.0,27.0,30.0
Healthy life expectancy (HALE) at birth (years),Honduras,2019,Both sexes,63.0,15.0,-86.5
Healthy life expectancy (HALE) at birth (years),Saint Lucia,2019,Male,63.0,13.88,-61.13
Healthy life expectancy (HALE) at birth (years),Bhutan,2019,Male,63.2,27.5,90.5
Healthy life expectancy (HALE) at birth (years),Bolivia (Plurinational State of),2019,Male,63.2,,
Healthy life expectancy (HALE) at birth (years),Tajikistan,2019,Female,63.2,39.0,71.0
Healthy life expectancy (HALE) at birth (years),Bolivia (Plurinational State of),2019,Both sexes,63.3,,
Healthy life expectancy (HALE) at birth (years),Bolivia (Plurinational State of),2019,Female,63.3,,
Healthy life expectancy (HALE) at birth (years),Democratic People's Republic of Korea,2019,Male,63.3,,
Healthy life expectancy (HALE) at birth (years),Honduras,2019,Female,63.3,15.0,-86.5
Healthy life expectancy (HALE) at birth (years),Syrian Arab Republic,2019,Female,63.3,35.0,38.0
Healthy life expectancy (HALE) at birth (years),Bhutan,2019,Both sexes,63.4,27.5,90.5
Healthy life expectancy (HALE) at birth (years),Brazil,2019,Male,63.4,-10.0,-55.0
Healthy life expectancy (HALE) at birth (years),Lithuania,2019,Male,63.4,56.0,24.0
Healthy life expectancy (HALE) at birth (years),Belize,2019,Male,63.5,17.25,-88.75
Healthy life expectancy (HALE) at birth (years),Bhutan,2019,Female,63.5,27.5,90.5
Healthy life expectancy (HALE) at birth (years),Uzbekistan,2019,Male,63.5,41.0,64.0
Healthy life expectancy (HALE) at birth (years),Azerbaijan,2019,Both sexes,63.6,40.5,47.5
Healthy life expectancy (HALE) at birth (years),Kyrgyzstan,2019,Male,63.6,41.0,75.0
Healthy life expectancy (HALE) at birth (years),Egypt,2019,Female,63.7,27.0,30.0
Healthy life expectancy (HALE) at birth (years),Iraq,2019,Female,63.7,33.0,44.0
Healthy life expectancy (HALE) at birth (years),Morocco,2019,Both sexes,63.7,32.0,-5.0
Healthy life expectancy (HALE) at birth (years),Morocco,2019,Female,63.7,32.0,-5.0
Healthy life expectancy (HALE) at birth (years),Morocco,2019,Male,63.7,32.0,-5.0
Healthy life expectancy (HALE) at birth (years),Nicaragua,2019,Male,63.7,13.0,-85.0
Healthy life expectancy (HALE) at birth (years),Indonesia,2019,Female,63.8,-5.0,120.0
Healthy life expectancy (HALE) at birth (years),Mongolia,2019,Female,63.8,46.0,105.0
Healthy life expectancy (HALE) at birth (years),Saudi Arabia,2019,Male,63.8,25.0,45.0
Healthy life expectancy (HALE) at birth (years),Bulgaria,2019,Male,63.9,43.0,25.0
Healthy life expectancy (HALE) at birth (years),Grenada,2019,Both sexes,63.9,12.12,-61.67
Healthy life expectancy (HALE) at birth (years),Mauritius,2019,Both sexes,63.9,-20.28,57.55
Healthy life expectancy (HALE) at birth (years),Philippines,2019,Female,63.9,13.0,122.0
Healthy life expectancy (HALE) at birth (years),Dominican Republic,2019,Both sexes,64.0,19.0,-70.67
Healthy life expectancy (HALE) at birth (years),Saint Vincent and the Grenadines,2019,Both sexes,64.0,13.25,-61.2
Healthy life expectancy (HALE) at birth (years),Saudi Arabia,2019,Both sexes,64.0,25.0,45.0
Healthy life expectancy (HALE) at birth (years),Seychelles,2019,Both sexes,64.0,-4.58,55.67
